 'ticks','ns time'
1, 1407541
2, 2185582
3, 2803416
4, 3401166
5, 3986251
6, 4582836
7, 5177835
8, 5786627
9, 6359877
10, 6964418
11, 7545833
12, 8146251
13, 8719793
14, 9320794
15, 9883501
16, 10479751
17, 11027292
18, 11614626
19, 12154336
20, 12738751
21, 13361125
22, 13943542
23, 14512042
24, 15088876
25, 15641043
26, 16288169
27, 16832877
28, 17489502
29, 18179793
30, 18716460
31, 19294002
32, 19992792
33, 20595501
34, 21210127
35, 21803253
36, 22414961
37, 23010710
38, 23630918
39, 24230626
40, 24824543
41, 25415754
42, 25994670
43, 26676669
44, 27435251
45, 28038250
46, 28597417
47, 29198750
48, 29858664
49, 30447247
50, 31035246
51, 31607786
52, 32150160
53, 32731034
54, 33325451
55, 33904658
56, 34468615
57, 35043324
58, 35599574
59, 36158907
60, 36754906
61, 37371157
62, 37961657
63, 38571781
64, 39247863
65, 39868530
66, 40557780
67, 41204405
68, 41900073
69, 42477449
70, 43144615
71, 43709950
72, 44389116
73, 44910158
74, 45521284
75, 46063242
76, 46603660
77, 47107494
78, 47720411
79, 48205869
80, 48793700
81, 49280075
82, 49874366
83, 50408116
84, 50937908
85, 51451532
86, 51984240
87, 52500824
88, 53000073
89, 53522198
90, 54156404
91, 54781279
92, 55344029
93, 55918820
94, 56475028
95, 57020403
96, 57552320
97, 58101652
98, 58622653
99, 59183278
100, 59739028
101, 60296612
102, 60951780
103, 61502239
104, 62037741
105, 62594991
106, 63201118
107, 63822701
109, 64997992
110, 65556117
111, 66116370
112, 66606120
113, 67141622
114, 67674580
115, 68208454
116, 68705788
117, 69256206
118, 69827621
119, 70341622
120, 70905745
121, 71464456
122, 72013664
123, 72595163
124, 73139664
125, 73699081
126, 74245121
127, 74800370
128, 75291619
129, 75819327
130, 76338788
131, 76866997
132, 77418454
133, 77940619
134, 78484534
135, 78989617
136, 79651411
137, 80163870
138, 80705995
139, 81205535
140, 81737827
141, 82234661
142, 82770870
143, 83263829
144, 83792744
145, 84325077
146, 84796785
147, 85246620
148, 85764829
150, 86901411
151, 87445784
152, 87974868
153, 88523867
154, 89079157
155, 89625867
156, 90182574
157, 90732283
158, 91350991
159, 91906742
160, 92448826
161, 93002867
162, 93633575
163, 94184825
164, 94726492
165, 95276491
166, 95893866
167, 96432741
168, 96940574
169, 97578949
170, 98065030
171, 98689155
172, 99177612
173, 99708070
174, 100197361
175, 100690068
176, 101196234
177, 101705611
178, 102198113
179, 102713405
180, 103266445
181, 103809820
182, 104367904
183, 104924279
184, 105469237
185, 106023699
186, 106559614
187, 107090864
188, 107629531
189, 108171533
191, 109358783
192, 109965908
193, 110502825
194, 111052324
195, 111568533
196, 112130658
197, 112643909
198, 113158369
199, 113669950
200, 114190741
201, 114689616
202, 115311616
203, 115800740
204, 116444282
205, 116942365
206, 117600029
207, 118138279
208, 118675531
209, 119321695
210, 119982611
211, 120528528
212, 121085528
213, 121741654
214, 122326570
215, 122862527
216, 123499692
217, 124046984
218, 124590109
219, 125148485
220, 125674234
221, 126225525
222, 126775193
223, 127323567
224, 127834400
225, 128375359
226, 128861608
227, 129389649
228, 129887857
229, 130410023
230, 130890148
232, 132059607
233, 132650398
234, 133154981
235, 133813398
236, 134368523
237, 134939730
238, 135546647
239, 136253895
240, 136863062
241, 137536021
242, 138134813
243, 138916729
244, 139516105
245, 140281397
246, 140843521
247, 141385394
248, 142025143
249, 142601393
250, 143208018
251, 143792894
252, 144392727
253, 144937687
254, 145519228
255, 146070186
256, 146674519
257, 147218310
258, 147818392
259, 148419767
260, 149031059
261, 149626100
262, 150237767
263, 150839017
264, 151440892
265, 152050019
266, 152655145
267, 153249395
268, 153847978
269, 154455354
270, 155032768
271, 155572642
272, 156117144
273, 156680270
274, 157240103
275, 157811478
276, 158356311
277, 159067562
278, 159718478
279, 160303397
280, 160845230
281, 161428272
282, 161975813
283, 162644772
284, 163249938
285, 163866896
286, 164470856
287, 165088313
288, 165689936
289, 166291145
290, 166892604
291, 167620481
292, 168219981
293, 168932273
294, 169530689
295, 170198688
296, 170802273
297, 171783105
298, 172455396
299, 173110186
300, 173704103
301, 174348396
302, 174938022
303, 175546187
304, 176114146
305, 176660187
306, 177272229
307, 177811188
308, 178341605
309, 179042854
310, 179621020
311, 180282560
312, 180858101
313, 181498016
314, 182118476
315, 182717561
316, 183330396
317, 183988978
318, 184608311
319, 185224727
320, 185819561
321, 186426187
322, 186994144
323, 187680810
324, 188261727
325, 188869935
326, 189467850
327, 190097017
328, 190671685
329, 191221601
330, 191749144
331, 192327767
332, 192932435
333, 193515185
334, 194150226
335, 194700142
336, 195269269
337, 195902352
338, 196441104
339, 197088770
340, 197681145
341, 198376561
342, 198982227
343, 199679851
344, 200277559
345, 200895435
346, 201495768
347, 202093061
348, 202693978
349, 203266934
350, 203870392
351, 204432184
352, 205106892
353, 205645019
354, 206213685
355, 206800644
356, 207386810
357, 207986518
358, 208602809
359, 209248934
360, 209919601
361, 210469017
362, 211016140
363, 211561931
364, 212144721
365, 212833305
366, 213431764
367, 214039305
368, 214644598
369, 215322722
370, 215898262
371, 216482886
372, 217044719
373, 217651511
374, 218197220
375, 218782970
376, 219324884
377, 219910216
378, 220447716
379, 221041049
380, 221646466
381, 222237423
382, 222794589
383, 223364048
384, 223961257
385, 224556257
386, 225157130
387, 225771505
388, 226367630
389, 226939132
390, 227862010
391, 228493176
392, 229041010
393, 229591385
394, 230135053
395, 230653845
396, 231194804
397, 231821555
398, 232356889
399, 232892638
400, 233468806
401, 234047389
402, 234603181
403, 235088722
404, 235708597
405, 236197389
406, 236762972
407, 237269765
408, 237788097
409, 238308763
410, 238860095
411, 239458804
412, 239998180
413, 240534640
414, 241085973
415, 241579558
416, 242089018
417, 242582392
418, 243094600
419, 243641975
420, 244197600
421, 244743309
422, 245278184
423, 245817851
424, 246372767
425, 246939060
426, 247463601
428, 248632432
429, 249235557
430, 249787641
431, 250383766
432, 250905766
433, 251531349
434, 252051515
435, 252577390
